category,sub-category
,Category:Films about the 1948 Palestinian exodus
Wars involving Turkey,Category:Wars involving the Ottoman Empire
,Category:War in Afghanistan (2001–2021)
,Category:Battles involving Turkey
,Category:Franco-Turkish War
,Category:Greco-Turkish War (1919–1922)
,Category:Korean War
,Category:Kosovo War
,Category:Kurdish–Turkish conflict (1978–present)
,Category:War on Terror
,Category:Turkish invasion of Cyprus
,Category:Turkish involvement in the Syrian civil war
,Category:Turkish War of Independence
,Category:Turkish–Armenian War
,Category:Turkey in World War II
Greater Beirut,Category:Beirut Governorate
Islam and antisemitism,Category:Anti-Jewish pogroms by Muslims
,Category:Blood libel
,Category:Hamas
,Category:Antisemitism in Iran
,Category:Antisemitism in Iraq
,Category:Islamic State of Iraq and the Levant
,Category:Jewish exodus from Arab and Muslim countries
,Category:Antisemitism in Libya
,Category:Antisemitism in Morocco
,Category:Nation of Islam
,Category:Antisemitism in the Ottoman Empire
,Category:Antisemitism in Pakistan
,Category:Antisemitism in Saudi Arabia
,Category:Antisemitism in Syria
,Category:Antisemitism in Tunisia
,Category:Antisemitism in Turkey
,Category:Antisemitism in Yemen
2016 in Lebanon,Category:2016 disestablishments in Lebanon
,Category:2016 establishments in Lebanon
,Category:2016 in Lebanese sport
,Category:2016 in Lebanese television
CS1 Japanese-language sources (ja),
Iran–Israel proxy conflict,Category:2006 Lebanon War
,Category:2019–2021 Persian Gulf crisis
,Category:Arab–Israeli alliance against Iran
,Category:Hezbollah–Israel conflict
,Category:Iran–Israel conflict during the Syrian civil war
,Category:Israeli–Lebanese conflict
,Category:Mass media about the Iran–Israel proxy conflict
,Category:People's Mujahedin of Iran
History of the Levant,Category:Syria under the Abbasid Caliphate
,Category:Ancient Levant
,Category:Earthquakes in the Levant
,Category:History of Israel
,Category:History of Jordan
,Category:History of Lebanon
,Category:Muslim conquest of the Levant
,Category:History of the State of Palestine
,Category:History of Palestine (region)
,Category:History of Phoenicia
,Category:History of Syria
,Category:Syria under the Umayyad Caliphate
Coordinates on Wikidata,
Articles with unsourced statements from September 2013,
Ethnicity-based civil wars,Category:1991 uprisings in Iraq
,Category:Bangladesh Liberation War
,Category:Burundian Civil War
,Category:War in Darfur
,Category:Ethiopian civil conflict (2018–present)
,Category:Ethiopian Civil War
,Category:First Congo War
,Category:First Sudanese Civil War
,Category:Internal conflict in Myanmar
,Category:Lebanese Civil War
